題號,題目,選項A,選項B,選項C,選項D,答案
164,1998年臺塑公司將一批汞污泥送往柬埔寨，並棄置在海邊，造成當地民眾多人不適，引起國際喧然大波，這種行為違反下列哪一項國際公約？,凡爾賽條約,蒙特婁公約,氣候變化綱要公約,巴塞爾公約,D
165,壬基酚主要做為工業清潔劑中「非離子型界面活性劑」，另外也用於抗氧化劑、紡織印染助劑、農藥乳化劑等領域，但平常我們接觸的壬基酚，卻更多是從哪裡來的？,食物中,空氣中,土壤中,廢棄物中,A
166,水是臺灣重要的資源，高雄甲仙攔河堰主要越域引水到哪個水庫存用？,石門水庫,日月潭水庫,德基水庫,南化水庫,D
167,請問下列何者傳染病傳染途徑並非經由食物或飲水傳染?,小兒麻痺症,沙門氏菌感染症,霍亂,日本腦炎,D
168,當臺灣有地震發生時，常可聽到新聞有相關報導，下列所報導的內容何者是「錯誤」的？,本次地震發生的震央位置在花蓮，震源深度為200公里,震度為花蓮4.2、臺東3.6、宜蘭3.4,地震的大小為芮氏地震規模5.3,發生原因是菲律賓海板塊擠壓歐亞板塊所致,B
169,請問下列選項何者不符合「全民綠生活」的實踐行動?,使用在地食材並提供餐點份量調整服務,種植綠色植栽，淨化室內空氣品質,旅遊景點選擇環境教育設施場所,選購衣物選擇快時尚，促進經濟發展,D
170,環境部與歐洲經貿辦事處在世界清潔日這天舉辦淨灘活動，邀請民眾共同參與，維護海洋環境，以達到哪四個目標?,「禁海」、「入海」、「近海」及「出海」,「親海」、「愛海」、「近海」及「進海」,「淨海」、「知海」、「近海」及「進海」,「淨海」、「愛海」、「護海」及「進海」,C
171,下列哪個是臺灣河川污染的主要來源之一？,土石流,家庭污水,酸沉降,溯溪活動,B
172,小明利用「廣用試紙」測試所收集的酸雨，其試紙會呈現何種顏色？,綠色,紅色,藍色,黑色,B
173,下列哪一個國家公園裡面可以見到珊瑚礁美景？,墾丁國家公園,太魯閣國家公園,玉山國家公園,陽明山國家公園,A
174,民國83年，臺灣美國無線電公司(RCA)桃園廠污染廠區土壤及地下水，主要污染物是以下哪種元素之有機化合物？,砷,鎘,氯,汞,C
175,中元節是中國人重要節令之一，當晚月相為何？,朔月,望月,上弦月,下弦月,B
176,有關食農教育和惜食教育的說法何種「錯誤」？,慣行農法講求的是循環利用,「食農教育法」已立法通過,惜食行動有效支持在地農業,惜食觀念的建立須從小扎根,A
177,為落實產品資源循環與環保再生材料應用，所採策略是推動什麼產品設計的輔導是：,搖籃到搖籃,搖籃到墳墓,墳墓到搖籃,墳墓到墳墓,A
178,下列何種生物不存在於墾丁國家公園?,紫斑蝶,樹皮螳螂,櫻花鉤吻鮭,玉帶鳳蝶,C
179,幾十年前曾有人引進小花蔓澤蘭來綠化環境，今日這種植物已經在臺灣部份地區造成許多原生植物死亡，甚至危害農作物，因此有綠色癌症之稱，關於此現象，下列哪個選項是正確的敘述？,這是天擇的結果，應讓其自然演化,不當引入外來生物，可能破壞原本的生態平衡,應多引入外來種昆蟲，以控制此植物的繁衍,外來種植物可增加本地的生物多樣性,B
180,河川截彎取直會對河道的水理造成什麼現象？,河道長度變長,取直的河道坡降變平緩,下游河道水位降低,下游河道產生淤積,D
181,下列何者為植物多樣性增加對生物的影響？,穩固生物繁衍的橋樑,減少抓土力,減少棲息地,當環境變動，整個生態系易導致崩解,A
182,在同樣的冷房能力下，有不同能源效率比(EER)的冷氣，其耗電量最少的是下列何者？,EER=1.2,EER=2.2,EER=3.4,EER=4.3,D
183,根據台灣國立海洋生物博物館環境生態毒物研究團隊透過對鯨豚的研究，發現環境荷爾蒙造成的影響，下列敘述何者正確?,環境荷爾蒙只汙染高階食物鏈的鯨豚，對低階食物鏈的小型魚類沒有影響,鯨豚體內只存在一種環境荷爾蒙,部分的環境荷爾蒙會透過生產及哺乳傳遞給下一代,環境荷爾蒙在海水中只要經過一段時間後，會自然分解掉，不會繼續造成危害,C
184,潮間帶常有許多的螺類，試問下列何者可食用？,花冠芋螺,漁舟蜑螺,斑芋螺,織錦芋螺,B
185,下列有關水土保持的敘述，何者「不正確」？,在低窪地區大量抽取地下水，容易造成地層下陷,在河邊養殖家禽家畜，可能使下游藻類過量孳生,在水庫上游砍伐樹木，會減少水庫的泥沙淤積量,在坡度陡峭的高山上種植蔬果，會造成土壤流失,C
186,黑面琵鷺是世界上非常稀少的鳥種，被列為瀕臨滅絕動物保護，每年9月至10月抵臺，一直待到翌年的3月至5月左右，才陸續飛離臺灣。請問黑面琵鷺主要分布在哪一個地區？,東歐,西亞,東亞,南美洲,C
187,何謂水足跡，下列哪個選項是正確的？,消費者所購買的商品，在生產過程中消耗的用水量,水利用的途徑,水循環的途徑,每人每日用水量紀錄,A
188,下列何者是酸雨帶來的危害？,全球暖化,輻射污染,礦產消失,土壤酸化,D
189,下列哪種物質可能於電子發票、提款機提款明細表等感熱紙上被檢出？,雙酚A,壬基酚,DDT,五氯酚,A
190,下列何者「不是」成功的社區產業推動的要件?,政治因素,增進社區的應變能力,財務及人力資源的支持,社區當地之生態,A
191,下列何者是引起過度漁撈現象的主要原因？,從事漁業人口增加,撈捕技術進步且消費人口增加,政府鼓勵捕撈,海洋資源取之不盡,B
192,在生物鏈越上端的物種其體內累積持久性有機污染物(POPs)濃度將越高，危害性也將越大，這是說明POPs具有下列何種特性？,持久性,半揮發性,高毒性,生物累積性,D
193,下列哪一條步道獲得世界非營利組織國際寧靜公園授證，成為全球第一條「寧靜步道」，在無人為干擾之下，測得最低音量不到25分貝?,阿里山特富野古道,大漢山浸水營古道,太魯閣錐麓古道,太平山翠峰湖環山步道,D
194,下列那一處濕地不屬於台江國家公園涵蓋的範圍?,八掌溪口濕地,七股鹽田濕地,鹽水溪口濕地,曾文溪口濕地,A
195,環境部為了推動區域環境管理工作，於111年1月1日正式成立什麼單位，來治理區域環境?,地方環境管理中心,三區環境管理中心,中央環境管理中心,四區環境管理中心,B
196,有關潮間帶的敘述，下列哪個選項是「錯誤」的？,位於滿乾潮之間的地帶,提供人們養殖、遊憩與觀光的主要場所,生物能適應短暫缺水及陽光曝晒,此地生態系的生產力，與其它生態系相較，生產力偏低,D
197,有關社區的垃圾分類何者正確？,保麗龍回收歸類在廢塑膠內,紙類回收必須把紙上的塑膠膜／袋清掉獨立回收,回收任何瓶罐類物品都要將裡面的液體倒乾淨,以上皆是,D
198,1950年日本富山縣當地居民罹患「痛痛病」，是下列何種金屬所導致？,鎘,鎳,砷,汞,A
199,下列有關鉛的生物偵測的敘述何者「錯誤」？,有機鉛化合物的吸收，主要是由皮膚吸收,循環中的鉛，90%會與紅血球結合,90%的鉛會最後儲存於骨骼,有機鉛的暴露，最好的偵測指標則是血中鉛濃度,D
200,在臺灣，下列哪一種作法符合餐飲業實施節能減碳？,採購高山種植的蔬果,採購當地蔬果,採購最便宜的的蔬果,採購自國外進口的蔬果,B
201,為了減少港口區域的空氣污染，哪些措施被採用？,增加船舶數量以分散污染,使用低硫燃油和岸電設施,建設更多的工業區,減少貨物進出口,B
202,下列何者「不符合」永續發展的理念？,發展綠色科技,人類發展不超出環境承載力,以環境保護為導向，降低人類生活品質,促進地球村概念，加強國際合作,C
203,下列關於土石流的防災方法，何者有誤？,建造擋土牆,疏通排水系統,避開災害敏感區,廣泛種植淺根系植物,D
204,一般認為職業事故發生的主要原因為何？,工作人員的不安全動作或行為,工作場所噪音干擾,工作場所的照明不佳,工作場所髒亂,A
205,關於我國淨零轉型的目標敍述，何者有誤？,確保我國的能源安全,提升產業的海外獲益,引發全民共同落實低碳生活,透過社會溝通降低減碳方案的衝擊,B
206,根據「淨零政策與法規」影片，巴黎協定的目標是將全球平均氣溫增加限制在多少度以內？,1度,1.5度,2度,5度,C
207,下列何者對以後的子孫在環境資源上的使用比較公平？,資源應該全在有錢人手上,資源不應任意浪費,增加貧富差距,資源永遠用不完可以任意浪費,B
208,全球已經有多少國家提出2050淨零排放的宣誓與行動？,70多國,90多國,110多國,130多國,D
209,關於生物多樣性的敘述何者正確？,小的生態系中，一物種消失，對食物網的穩定性影可響將愈雨小水回收利,生物棲息環境變化少的生態系，生物多樣性愈高,單一樹種的育林方式有利於生態系的穩定，並能避免病蟲害的侵犯,生物多樣性愈高，生態系愈容易維持平衡穩定,D
210,下列何者是超抽地下水所產生的狀況？,河川枯竭,珊瑚死亡,土地生產力提高,近海土地鹽化,D
211,請問下列哪一個選項最能代表「從搖籃到搖籃」(cradle to cradle)的設計思維？,產品在使用後成為垃圾，進入垃圾填埋場。,產品的設計、生產及回收模仿自然界的新陳代謝系統，所有的廢棄物都可以變成資源。,產品的設計只考慮生產成本，而不考慮環境影響。,產品在消費使用後成為廢棄物，不再具有任何價值。,B
212,根據國家氣候變遷科學報告，如果氣候變遷未被控制，臺灣的高山森林面積會有什麼變化？,增加面積,減少面積,向低海拔移動,保持不變,B
213,工業廢水中造成土壤重金屬污染的物質有哪些？,砷,鉻,汞,以上皆是,D
214,霧和霾在相對濕度上的區別是什麼？,霧在乾燥空氣中形成，相對濕度低於75%,霾在潮濕空氣中形成，相對濕度高於75%,霧在潮濕空氣中形成，相對濕度高於75%,霾在乾燥空氣中形成，相對濕度高於75%,C
215,過去引進小花蔓澤蘭來綠化環境，今日這種植物已經在臺灣中南部地區造成許多原生植物死亡，甚至危害農作物，因此有綠色癌症之稱，關於此現象，下列哪個選項是正確的敘述？,不當引入外來生物，可能破壞原本的生態平衡,這是天擇的結果，應讓其自然演化,應多引入外來種昆蟲，以控制此植物的繁衍,外來種植物可增加本地的生物多樣性,A
216,如何增加衣服使用的壽命?,定期整理衣櫃,二手衣物交流,嘗試舊衣改造,以上皆是,D
217,文化資產保存法有七大項，其中之一的自然地景指的是什麼？,蘊藏過去人類生活所遺留具歷史文化意義之遺物,具保育自然價值之自然區域、地形、植物及礦物,與國民生活有關之傳統並有特殊文化意義之風俗,流傳於各族群與地方之傳統技藝與藝能,B
218,何者含量太低時會在短時內造成魚類死亡？,水中含氧量,有機物質,氨氮含量,總磷含量,A
219,下列何種噪音類型的分貝數最大?,飛機起降,民俗噪音,營建工地,市場叫賣聲,A
220,我國河川揚塵可能發生的原因為何？,河川有大量裸露地,河川水量暴漲,河川襲奪現象產生,河川產生下切現象,A
221,以下屬於外來入侵物種的共有幾種？甲、吳郭魚 | 乙、小花蔓澤蘭 | 丙、福壽螺 | 丁、布袋蓮,1種,2種,3種,4種,D
222,"如果要蓋一座符合環保概念的園區，下列哪個選項的作為""不適合""出現？",採購進口建材,選購節能標章的設施,採用太陽能發電系統,利用風力發電,A
223,關於將廚餘從一般垃圾中分出來的敍述，何者為非？,能夠減少垃圾放置時所產生的惡臭,能夠用以填土造地,能夠增加垃圾焚化時的能源效率,能夠減少戴奧辛的產生及傳播機率,B
224,地球日是每年的哪天?,4月22日,6月5日,6月8日,10月16日,A
225,河川裡重要的植物營養物質為何？,重金屬,氮磷,懸浮固體,水中溶氧,B
226,下列何者「不屬於」減少人為的噪音方式或作為?,電視機音量大小應適中,娛樂場所加裝隔音設備,逢年過節應鼓樂喧天,施工前須做好防護措施,C
227,《文化資產保存法》中的自然地景、自然紀念物所指為何？,流傳於各族群與地方之傳統技藝與藝能,指具保育自然價值之自然區域、特殊地形、地質現象、珍貴稀有植物及礦物,與國民生活有關之傳統並有特殊文化意義之風俗,蘊藏過去人類生活所遺留具歷史文化意義之遺物,B
228,以聚乙烯對苯二甲酸酯（PET）為原料的填充容器，俗稱什麼？,鋁箔包,紙容器,寶特瓶,保麗龍,C
229,關於「淨零排放」的描述，何者正確？,指溫室氣體排放量與碳匯量達成平衡。,代表二氧化碳將被完全捕捉或儲存。,各國協定不再排放溫室氣體，並推動負碳工程，如再生能源等。,表示將達成溫室氣體零排放。,A
230,下列何種污水在淡水河流域占較高比例?,事業污水,畜牧污染,生活污染,農業污染,C
231,下列哪一項是地球暖化對人類的影響？,增加糧食生產,水資源更加充裕,增加傳染病發生機會,環境更適合居住,C
232,根據環境部資源循環署的說明，紙餐具在回收後送到專業處理廠，可以回收再製成什麼？,金屬製品和玻璃製品,纖維製品和木製品,紙製品和塑膠粒,布製品和橡膠製品,C
233,下列何種現象可以證明全球暖化正在發生?,北極熊數量增加,高山植物往平地擴散,珊瑚大量增生,冰河面積衰退,D
234,根據「淨零政策與法規」影片，哪一年聯合國大會決議設立《政府間氣候變化綱要公約談判委員會》？,1985年,1990年,1995年,2000年,B
235,依照「網際網路購物包裝限制使用對象及實施方式」的規定，網際網路零售業者其紙類包裝材料(箱)需要有多少比例以上的回收紙含量？,25%,50%,75%,90%,D
236,若民眾想知道周遭居住環境的懸浮微粒濃度，可至哪個網站查詢?,環境教育終身學習網,綠色生活資訊網,環境影響評估書件查詢系統,空氣品質監測網,D
237,下列哪一種不是溫室氣體的種類?,甲烷,二氧化碳,氧氣,氧化亞氮,C
238,2021年氣候變化綱要公約第26次聯合國締約國大會將「2050淨零碳排」列入全球共識，此協定稱之為何？,巴黎氣候協定,京都議定書,格拉斯哥氣候公約,里約熱內盧氣候協議,C
239,為了保育臺灣生態，政府劃定許多不同類別的特殊區域，請問下列哪一種完全不需申請就可直接進入？,自然保留區,野生動物保護區,自然保護區,國家自然公園,D
240,下列何者對於土壤自淨作用的描述是正確的？,由人類添加化學物分解,主要由微生物分解,透過動物飲食吸收,藉由種植植物吸收,B
241,下列何者不符合「淨零綠生活」的生活態度及消費模式?,採購材質單一或使用再生材料的服飾,選擇居住在綠色的建築,選擇提供環保餐具的餐廳用餐,拒絕大量排放溫室氣體的商品,B
242,聯合國所發表的「二十一世紀議程」(Agenda21)的意義為何？,推動永續發展,發展宇航技術,解決全球金融危機,發展基因改造工程,A
243,海嘯在深海處的傳遞速度與以下哪一交通工具相當？,噴射機,高鐵,高速公路上的汽車,自行車,A
244,下列何者「不是」環境部建立空氣品質監測的主要目的？,防制空氣污染,防止紫外線過高,提升空氣品質,掌握監測數據,B
245,因為哪一種原因使得生物分布逐漸往高海拔或高緯度移動？,聖嬰現象,臭氧層破洞,酸雨,全球暖化,D
246,下列有關毒性實驗中的LD50，其敘述何者正確？,LD是指中毒劑量,50是指動物產生中毒的百分比,LD50愈小，致命性愈大,有些化學物質對人類的LD50可以直接測試,C
247,國際志工日是幾月幾日?,4月22日,6月5日,11月12日,12月5日,D
248,下列哪一個不是「淨零綠生活」中購買的推廣核心?,增加網購便利,二手商品循環使用,綠色消費,以租代購，以修代買,A
249,遇公害發生，民眾最常見處理方式為何？,向法院申告,向環保機關檢舉,發函環境部處理,向立法委員反映,B
250,根據IPCC的報告，如果地球暖化2度，可能發生什麼事情？,全年結冰,半年結冰,3個月結冰,北極海可能每10年出現一次完全無冰狀態,D
251,我國的飲用水來源主要為何？,河川水,逆滲透水,海水,回收水,A
252,以臺灣的地形、季風及降雨等氣象條件來說，哪一季節的空氣品質較差？,春,夏,秋,冬,D
253,請問訂定各縣市「地方調適執行方案」為「氣候變遷調適專章」哪一法條？,第17條,第18條,第19條,第20條,D
254,下列有關我國「2050淨零轉型」，的四大轉型策略，何者有誤？,能源轉型,產業轉型,生活轉型,環境轉型,D
255,根據「淨零政策與法規」影片，哪一年聯合國大會決議設立《政府間氣候變化綱要公約談判委員會》？,1985年,1990年,1995年,2000年,B
256,下列何者不符合「淨零綠生活」的生活態度及消費模式?,採購材質單一或使用再生材料的服飾,選擇居住在綠色的建築,選擇提供環保餐具的餐廳用餐,拒絕大量排放溫室氣體的商品,B
257,在污水排放處附近將污水就地淨化，避免污水直接排入河水，此法通常稱之為何?,跨區處理,停滯處理,集中處理,現地處理,D
258,下列駕駛習慣，哪一個無法達到節能環保的作用？,把車停在陰涼的地方,開車前先暖車,開車保持穩定速度不急催急煞,檢查胎壓,B
259,根據「氣候變遷與調適政策法規」影片內容，CCUS技術中的第一個C代表什麼？,Capture,Carbon,Climate,Control,B
260,哪一個行為對環境的衝擊較小？,購買當地自產自銷的芒果,購買冷藏的非產季水果,購買空運冷凍藍莓,購買包裝精緻的進口水果,A
261,所謂的「淨零排放」是什麼?,不可以排放出任何溫室氣體,讓溫室氣體的排放量達到最低，並利用技術抵銷剩餘的排放量,使用技術移除大氣中所有的溫室氣體,排放別的氣體來對抗溫室氣體,B
262,"2015年,氣候變化綱要公約第21次締約國大會通過巴黎協定，旨在限制全球平均溫度增加在攝氏幾度之內？",1,2,3,4,B
263,「減碳要淨力，生活要帶綠」影片中提到，環保駕駛應該怎麼做？,開快車,不使用空調,將音響開到最大聲,定期清理車內不必要的雜物,D
264,下列何者是產生沙塵暴的主要原因？,颱風,空氣污染,種植樹木,沙漠化,D
265,以聚乙烯對苯二甲酸酯（PET）為原料的填充容器，俗稱什麼？,鋁箔包,紙容器,寶特瓶,保麗龍,C
266,以下哪一項是綠色消費的主要精神？,購買便宜的產品,選擇對環境傷害較少的商品,購買最流行的產品,選擇顏色最漂亮的商品,B
267,根據「減碳要淨力，生活要帶綠」影片內容，生態旅遊的特點是什麼？,價格便宜,時間短,環保、減碳、自然人文的深度旅遊,只適合年輕人,C
268,下列何者是臺灣周圍海域的季節性洄游魚類？,黑鮪魚,吳郭魚,香魚,鯰魚,A
269,若民眾想知道周遭居住環境的懸浮微粒濃度，可至哪個網站查詢?,環境教育終身學習網,綠色生活資訊網,環境影響評估書件查詢系統,空氣品質監測網,D
270,下列何種污水在淡水河流域占較高比例?,事業污水,畜牧污染,生活污染,農業污染,C
271,請問我國於112/2/15修正「溫室氣體減量管理法」為何種法？,氣候變遷因應法,氣侯因應調適專法,淨零碳排專法,氣候變遷調適專章,A
272,面對工業科技所造成的環境破壞危機，要如何因應？,逐步將工業轉型為農業,修改憲法禁止工業發展,制定良善的環保法令，兼顧經濟與環境需求,將工業區設在人口稀少的地方,C
273,〈節能減碳無悔措施全民行動方案〉，提出十項無悔措施供民眾參考實踐。下列何者不屬於十項無悔措施?,自備杯筷帕與袋,冷氣控溫不外洩,出門多開車,多吃蔬食少出肉,C
274,下列何者不符合響應「環保餐廳」的三大要點?,做好源頭減量,使用在地食材,拒絕網路推銷,推行惜食點餐,C
275,下列何者不是目前臺灣的國家公園?,阿里山國家公園,雪霸國家公園,陽明山國家公園,臺江國家公園,A
276,連續五日以上最高氣溫超過平均最高氣溫5°C以上，則稱為「熱浪」，下列何者並非熱浪的成因?,全球暖化,熱島效應,焚風,火災,D
277,面臨氣候變遷與極端氣候的衝擊，總統府新成立什麼委員會，採取積極的作為?,國家氣候變遷對策委員會,全社會防衛韌性委員會,健康臺灣推動委員會,國家科學及技術委員會,A
278,影片「減碳要淨力，生活要帶綠」中提到的共享經濟的概念是什麼？,擁有更多財產,出租代替購買,減少工作時間,增加消費,B
279,人類進入到下列哪一個時代，溫室效應越趨嚴重？,石器時代,農業時代,金屬器時代,工業時代,D
280,臺灣西部遺留了許多早期先民所挖掘的埤塘，下列何者為這些埤塘現今功能之一？,大量農作生產,清洗衣物,工業用水,涵養水源,D
281,為了讓民眾的「二手物」有合適物品的處理管道，環境部建置了「全國不用品藏寶地圖」網站，下列何者為此網站成立的宗旨?,愛物野生動物，守護美好家園,愛物惜福、延長物命、減廢回收,保護環境，維護生態，世代永續,愛花草，空氣好，環保做不好，生命就難保,B
282,全臺灣有11個國定遺址，宜蘭境內就有2個，請問是哪兩個？,淇武蘭遺址、新城遺址,大坌坑遺址、十三行遺址,奇立丹遺址、宜蘭農校遺址,丸山遺址、漢本遺址,D
283,《華盛頓公約》的目的為何？,促進資源永續利用,防止全球暖化,防止氣候變遷對生態系造成之衝,保護瀕臨絕種生物,D
284,根據「噪音管制區劃定作業準則」第6條，「夜間」在第一、二類噪音管制區所指時段為何?,晚上十一時至翌日上午七時,晚上十時至翌日上午六時,晚上八時至晚上十時,晚上八時至晚上十一時,B
285,根據「氣候變遷與調適政策法規」影片內容，氣候變遷因應法延續了哪一個法律體系？,溫室氣體減量及管理法,水污染防治法,廢棄物管理法,空氣污染防治法,A
286,下列何者「不是」海平面上升後所造成的後果？,人口密度降低,陸地減少,農作物產量減少,農田遭水淹沒,A
287,下列哪一項不是環保祭祀的方法？,少點線香,減少點蠟燭或光明燈,使用大面額紙錢,燃放煙火,D
288,下列何種購物行為「沒有」綠色消費觀念？,買咖啡自備環保杯,購買天然殺蟲劑，減少環境污染,不接受店家提供的免費塑膠袋,單次使用、用過即丟的商品較衛生,D
289,何者位於臺灣東部外海的海洋？,大西洋,臺灣海峽,太平洋,南海,C
290,以下關於「原住民族地區」的敘述何者正確？,係指所有原住民現在居住地區,係指原住民報請政府後指定居住地,係指原住民傳統居住，具歷史淵源及文化地區,係指原住民族與漢人新舊文化融合地區,C
291,家戶垃圾最好的處理方式為何？,源頭減量,衛生掩埋,焚化爐焚燒,棄置山溝,A
292,下列哪一種被認定是含有有害物質的廢棄物？,乾電池,麵包,玻璃,衣服,A
293,環境部為避免露營產生的污水，直接排放污染水體，於113年1月16日修正公告「禁止足使水污染行為」之污水處理新規定，適用於哪些地區?,所有露營場,都市露營場,中低海拔露營場,水污染管制區露營場,D
294,根據「淨零政策與法規」影片，巴黎協定的目標是將全球平均氣溫增加限制在多少度以內？,1度,1.5度,2度,5度,C
295,臺灣地震的發生，大部分是由於下列哪種原因所造成的？,火山爆發,板塊碰撞引起地層擠壓,山崩,海嘯,B
296,霧和霾的區別主要是什麼？,顏色和成分,顏色和溫度,成分和濕度,成分和時間,C
297,2019年全球溫室氣體排放量約500億噸，臺灣的溫室氣體總排放量，大約多少億噸？,1億噸至2億噸,2億噸至3億噸,3億噸至4億噸,4億噸至5億噸,B
298,屏東林邊的地層下陷原因為何？,超抽地下水,颱風導致,積水不退,地震導致,A
299,有關當前在進行碳匯碳捕捉的最新技術CCUS，請問按照CCUS之順序排列而下，何者敘述有誤？,Carbon.碳,Capture.捕捉,Utilization使用率,Separate.分離,D
300,下列何者不是目前常見的氣象衛星雲圖？,可見光雲圖,紅外線雲圖,紫外線雲圖,水氣頻道雲圖,C
301,下列何種法規是目前臺灣沒有特別公告的？,噪音管制法,水污染防治法,振動管制法,環境影響評估法,C
302,關於地質公園的敘述，何者正確？,地質公園定義為擁有觀光價值的場域，並包含地質、考古及文化價值。,聯合國世界旅遊組織希望透過公園促進生態旅遊而推動,地質公園計畫前身是法國非政府組織「世界地質公園網絡」,我國的野柳地質公園即是受核可的世界地質公園,C
303,登革熱是一種環境病、社區病，需清除病媒蚊孳生源，請問以下列何者是防範登革熱的口號?,「看、倒、沖、洗」,「巡、倒、沖、洗」,「查、倒、沖、洗」,「巡、倒、清、刷」,D
304,有關行政院環境保護署推動的資源永續循環再利用(3R)的正確流程，下列敘述何者正確？,源頭減量→回收→再使用,回收→源頭減量→再使用,再使用→源頭減量→回收,源頭減量→再使用→回收,D
305,有關二氧化碳和氧氣的敘述，下列哪個選項是正確的？,汽水的主要成分是溶入氧氣的碳酸水,氧氣不助燃的特性，可作為滅火器使用,酵母菌的發酵作用會產生氧氣，使麵包膨鬆,動物呼出的氣體含有二氧化碳,D
306,黑面琵鷺是世界上非常稀少的鳥種，被列為瀕臨滅絕動物保護，每年9月至10月抵臺，一直待到翌年的3月至5月左右，才陸續飛離臺灣。請問黑面琵鷺主要分布在哪一個地區?,東歐,西亞,東亞,南美洲,C
307,下列那個濕地位於鳳凰山脈與阿里山山脈嶺線分界點，且植物界線分明？,椬梧濕地,大湳湖濕地,草湳濕地,草坔濕地,D
308,下列哪一種元素會使土壤產生紅色的現象？,鉻(ㄍㄜˋ),鐵,銅,硫,B
309,下列有關『臭氧層』的敘述，何者錯誤？(A:)臭氧自然形成於距地表25至50公里的大氣層中，可以吸收紫外線，[...],[...]故臭氧層的作用對地球生物極為重要。,於聯合國簽署的《蒙特婁議定書》是世界各國保護臭氧層的轉捩點,臭氧層的破損與極端氣候互為因果,縱使各國再如何努力保護地球，已經遭破壞的臭氧層破洞已經難以復原,D
310,海底珊瑚礁露出水面所形成的島嶼稱之為珊瑚礁島。以下何者為此類型島嶼？,金門島,馬祖列島,綠島,東沙島,D
311,「在中緯度地區，由於某種關鍵因素的影響，天然植被的經向地帶性格外規律，呈現由西(沿海)向東(內陸)依序為森林、草原與沙漠的變化。」上述最為關鍵的影響因素應為下列哪個選項？,洋流,西風,海拔高度,熱帶氣旋,B
312,下列對雙酚A的敘述何者錯誤?,常見於塑膠瓶、玩具上,影響生殖與發育,造成體重過瘦,會造成糖尿病,C
313,有關生物的命名法，下列哪個選項是正確的？,以俗名分類,俗名加上種名,學名,種名,C
314,水庫內的水質優養化對水庫中的魚類最後會造成什麼影響？,水中有更多對魚類生存有幫助的養分,水質變好，但對魚類沒有幫助,水質變差，影響魚類的生存,對魚類完全沒有任何影響,C
315,每年在大量紫斑蝶遷徙時段行經國道三號林內段時，國道高速公路局會封閉國道三號林內段外側車道的讓道方案，用意是什麼？,疏解交通壅塞,保護自然生態,促進觀光發展,顧及行車安全,B
316,幾十年前曾有人引進小花蔓澤蘭來綠化環境，今日這種植物已經在臺灣部份地區造成許多原生植物死亡，甚至危害農作物，因此有綠色癌症之稱，關於此現象，下列哪個選項是正確的敘述？,這是天擇的結果，應讓其自然演化,不當引入外來生物，可能破壞原本的生態平衡,應多引入外來種昆蟲，以控制此植物的繁衍,外來種植物可增加本地的生物多樣性,B
317,臺灣中高海拔山區唯一最廣大而完整的生態保護區是下列那一個？,關渡自然保留區,出雲山自然保留區,葉蘭自然保留區,大武山自然保留區,D
318,以下何種能量會被地球吸收而產生暖化的現象？,紅外線,X光,雷射,α射線,A
319,以下哪些天然災害可能會與氣候變遷效應發生關聯性？(A)洪水 | (B)山崩與土石流 | (C)土地沙漠化 | (D)地層下陷。,[A],[AB],[ABC],[ABCD],D
320,下列何者為「族群」的意義？,生長於同一時期、同一棲地的同種生物集合,生長於同一時期、同一棲地的所有生物集合,生長於同一時期、不同棲地的同種生物集合,生長於不同時期、同一棲地的所有生物集合,A
321,天氣預報中的「人體舒適度」意指為何？,不同溫度、濕度條件下，人體感覺舒適的程度,不同氣壓條件下，人體感覺舒適的程度,不同太陽光強度，人體感覺舒適的程度,天空雲量多寡，人體感覺舒適的程度,A
322,世界環境日是聯合國鼓勵全球居民提高環保意識和採取環保行動的主要力量。請問聯合國人類環境會議將每年的幾月幾日作為「世界環境日」?,3月21日,4月22日,5月22日,6月5日,D
323,收集酸雨，用石蕊試紙檢驗會有下列哪種變化？,藍色石蕊試紙變紅色,紅、藍石蕊試紙都不變色,紅色石蕊試紙變藍色,都變成黑色,A
324,鵝鑾鼻公園裡，什麼地方是蝴蝶們絕佳的避風港，可以阻擋落山風?,燈塔,矮灌木,棕櫚樹,珊瑚礁岩,D
325,因臺灣位於歐亞大陸板塊與菲律賓板塊交界處，地震頻繁，對於地震的應變措施下列何者有誤?,地震發生時應躲在黃金三角處,地震發生時應躲在冰箱旁，確保食物充足,若發生強烈地震應趕緊開門，防止門變形逃不出去,以上皆是,D
326,下列何種方式在校園內可以節省能源？,多乘電梯，少走樓梯,裝設自動感應照明,空調設定於20~23度,共乘計程車,B
327,下列哪一種植物屬於臺灣原生種？,銀合歡,小花蔓澤蘭,大花咸豐草,玉山杜鵑,D
328,下列哪個選項最有可能是近年來全球暖化日益嚴重的主要原因？,被大氣吸收的太陽輻射增加，地表大氣中溫室氣體過低,被大氣反射到太空的太陽輻射增加,被地表反射到太空的太陽輻射增加,被大氣吸收的地表輻射增加,D
329,在衛星雲圖上，臺灣南部被一大片白色的東西所遮住，試問臺灣南部的天氣狀況如何？,陰天或下雨,晴朗炎熱,強風,濃霧,A
330,根據《文化資產保存法》的界定，「澎湖石滬文化景觀－吉貝石滬群」是屬於哪一種類型景觀？,聚落建築群,文化景觀,自然地景,考古遺址,B
331,自然保留區的設置是依下列哪一項法規所推動？,文化資產保存法,國家公園法,野生動物保育法,環境保護基本法,A
