題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
97,暑期練習7/2,為了達到源頭減量，環境部於112年7月訂定了哪一項限制，並在114年1月1日起正式生效？,旅宿業不得主動提供一次性個人用品。,菜市場不得主動提供塑膠袋給民眾。,網購包裝材料不可使用含聚氯乙烯塑膠材質。,全國飲料店全面禁用一次性塑膠杯。,(A) 旅宿業不得主動提供一次性個人用品。,"【正解說明】環境部於民國112年（2023年）7月公告「一次用旅宿用品限制使用對象及實施方式」，規定自民國114年（2025年）1月1日起正式生效，旅宿業不得在客房內主動提供容量小於180ml之小瓶裝備品，亦不得於營業場所主動陳列一次性個人衛生用品（牙刷、牙膏、梳子、刮鬍刀等）。
【其他選項解析】
(B) 傳統菜市場尚未全面強制禁用塑膠袋。
(C) 網購包裝限制於112年7月1日即已上路實施。
(D) 全國飲料店禁用一次用塑膠杯為各縣市陸續於113年底前實施完畢。"
98,暑期練習7/2,下列何者不是微生物的應用？,用微生物讓泡菜變酸，可保存更久。,應用微生物來發酵麥汁，製作啤酒。,某種微生物可幫助豆科植物吸收空氣裡的氮。,微生物可直接清除空氣中的懸浮微粒。,(D) 微生物可直接清除空氣中的懸浮微粒。,"【正解說明】空氣中的懸浮微粒（如 PM2.5）主要依賴物理重力沉降、植物葉片滯塵吸附或空氣清淨機濾網（HEPA）進行物理過濾；微生物無法在大氣中直接吞噬或清除空氣懸浮微粒，故(D)不是微生物之應用。
【其他選項解析】
(A) 利用乳酸菌發酵製作泡菜抑制雜菌，為食品發酵應用。
(B) 利用酵母菌發酵麥汁釀造啤酒，為經典微生物發酵工業。
(C) 根瘤菌與豆科植物共生進行固氮作用，為農業與生態微生物應用。"
99,暑期練習7/2,關於「省水標章」的說明，下列何者錯誤？,目前省水標章為「自願性標章」，政府鼓勵洗衣機和馬桶等用水器具積極申請。,省水標章分為「普級」和「金級」兩種等級。,標章上的三條水帶代表「愛水、節水、親水」。,用水器具需經過認證檢驗通過，才可獲得省水標章。,(A) 目前省水標章為「自願性標章」，政府鼓勵洗衣機和馬桶等用水器具積極申請。,"【正解說明】依據我國《自來水法》第61條之1規定，自民國107年（2018年）4月1日起，凡於國內販售之洗衣機、馬桶等指定用水器具，已依法強制規定「必須具備省水標章」始得陳列販售，已由自願性改為「強制性標章」，故(A)敘述錯誤。
【其他選項解析】
(B) 省水標章分為普級（藍）與金級（金）兩級，敘述正確。
(C) 三條水帶象徵愛水、親水、節水，敘述正確。
(D) 用水器具須通過檢驗機構合格認證方可獲頒標章，敘述正確。"
100,暑期練習7/2,釩液流電池適合作為什麼用途？,安裝在手機中，讓手機可以用好幾天不用充電。,放在手電筒裡，可以照明更久。,用來儲存太陽能或風力發的電，幫助穩定供電。,電動車的充電電池，因為它安全又能儲電。,(C) 用來儲存太陽能或風力發的電，幫助穩定供電。,"【正解說明】「釩液流電池（Vanadium Redox Flow Battery, VRFB）」具有循環壽命極長（達15,000次以上）、高安全性（水溶液無熱失控起火風險）、儲能容量可擴充等優點；但其能量密度低且體積重量龐大，因此最適合作為大型定置型「電網級儲能系統（Grid-scale ESS）」，用於儲存太陽能與風力發電以削峰填谷、穩定電網供電。
【其他選項解析】
(A) 手機、(B) 手電筒、(D) 電動車：因追求高能量密度與輕巧便攜，皆採用鋰離子電池，不適合體積龐大的釩液流電池。"
101,暑期練習7/6,下列何者是生態敏感地區的重要性？,可以種植農作物,可以建造房屋,提供野生動物棲息地,可以提供大量能源,(C) 提供野生動物棲息地,"【正確答案：C】
解析：
1. 生態敏感地區（Ecologically Sensitive Areas）指具有獨特生態系統、高度生物多樣性、珍稀瀕危物種棲地或脆弱環境承載力的區域。其核心價值與重要性在於提供野生動植物關鍵的棲息、覓食與繁衍空間，維持生態平衡與基因庫多樣性。
2. 選項(A)、(B)、(D)均屬於高密度的人為開發與資源開採利用行為（農業開墾、建築開發、能源開發）。生態敏感區環境脆弱且易受破壞，應受到嚴格管制與保護，避免過度人為干擾。"
102,暑期練習7/6,下列哪個選項「不屬於」石化工業的產品？,塑膠,人造纖維,玻璃,黏著劑,(C) 玻璃,"【正確答案：C】
解析：
1. 玻璃的主要原料為無機矽酸鹽類礦物（如矽砂／二氧化矽、純鹼、石灰石、長石等），經高溫熔融、冷卻固化成型，屬於無機非金屬材料，並非以石油或天然氣為原料衍生之石化產品。
2. 選項(A)塑膠（由石油裂解之乙烯、丙烯等單體聚合而成）、選項(B)人造纖維（如聚酯纖維、尼龍等合成纖維）、選項(D)黏著劑（多數合成膠水原料為石化聚合物樹脂），皆屬於石化工業之下游加工產品。"
103,暑期練習7/6,下列何者為地下水高污染潛勢區？,百貨公司,加油站,電影院,遊樂園,(B) 加油站,"【正確答案：B】
解析：
1. 加油站設有地下儲油槽（UST）及地下輸油管線，長期埋設於地下若因金屬腐蝕、地震龜裂或操作不慎而滲漏，汽柴油中的苯、甲苯、乙苯、二甲苯（BTEX）及總石油碳氫化合物（TPH）會直接滲透土壤並污染地下水層，因此環保法規將加油站列為土壤及地下水高污染潛勢之重點監測對象。
2. 選項(A)百貨公司、(C)電影院、(D)遊樂園主要為商業服務與休閒娛樂場所，產生之廢水多為一般生活污水，且未大量地下儲存高危害性石化燃料，非屬地下水高污染潛勢區。"
104,暑期練習7/6,為鼓勵電子產品繳費責任業者朝物料循環再利用方向設計，環保署自112年7月1日起針對電視機、冷暖氣機、洗衣機、電冰箱、電風扇等物品，優先於產品中添加多少%以上塑膠再生料？,10%,25%,30%,45%,(B) 25%,"【正確答案：B】
解析：
1. 為促進塑膠資源循環及引導業者落實綠色生態設計，環境部（前環保署）自民國112年（2023年）7月1日起實施綠色費率優惠政策，針對電視機、冷暖氣機、洗衣機、電冰箱及電風扇等五大類責任物，若產品添加使用「25%以上」之塑膠再生料，即可申請適用較優惠之回收清除處理費費率（享有綠色費率減免優惠）。
2. 選項(A)10%、(C)30%、(D)45%皆非法定第一階段綠色費率設定之塑膠再生料添加門檻比例。"
105,暑期練習7/6,對於環境荷爾蒙，民眾在自我提升防範方面，專家建議從食物的選擇上進行。請問下列何種防範行為是錯誤的？,多吃原型食物,少吃加工食品,選擇同一攤位的食物,同時挑選不同種類的食材,(C) 選擇同一攤位的食物,"【正確答案：C】
解析：
1. 長期固定向單一攤位或單一產地來源採購食材，若該特定來源的土壤、水質或包裝容器存在環境荷爾蒙（內分泌干擾物）或重金屬污染，將導致毒素在人體內長期持續累積。正確的防範原則應為「分散採購來源、輪替不同攤位與品牌」，以分散食品安全風險。
2. 選項(A)多吃原型食物與選項(B)少吃加工食品：加工食品在製造、包裝及加熱過程中易接觸塑化劑或添加物，原型食物受污染風險較低；選項(D)挑選多種類食材可確保營養均衡並發揮風險分散效果。"
106,暑期練習7/6,下列哪一項「不是」我國訂定「國家氣候變遷調適政策綱領」的原因？,健全與提升國家調適能力,控制國家溫室氣體的排放,降低社會脆弱度,建立我國整合性的運作機制,(B) 控制國家溫室氣體的排放,"【正確答案：B】
解析：
1. 氣候變遷因應策略主要分為兩大主軸：「減緩（Mitigation）」與「調適（Adaptation）」。控制國家溫室氣體排放屬於「減緩」範疇（由溫室氣體減量法規推動）；而「國家氣候變遷調適政策綱領」旨在因應已發生或無可避免之氣候變遷衝擊，提升各領域的適應能力與回復力。
2. 選項(A)健全與提升國家調適能力、(C)降低社會脆弱度、(D)建立我國跨部會整合性運作機制，均為我國制定《國家氣候變遷調適政策綱領》之核心目的與方針。"
107,暑期練習7/6,有關風化作用的敘述，下列哪個選項是「錯誤」的？,海蝕平臺是風化作用所形成,風化作用是大岩石逐漸崩解成小碎塊的過程,在氣候溫暖潮濕的環境當中，岩石容易與水產生化學反應而逐漸鬆軟,風化作用的最終產物為土壤,(A) 海蝕平臺是風化作用所形成,"【正確答案：A】
解析：
1. 海蝕平臺主要是波浪長期對海岸岩石進行劇烈撞擊、掏刷與磨蝕等「侵蝕作用（海蝕作用）」所雕塑出的海崖後退平坦地形，並非以原地的風化作用為主因。
2. 選項(B)物理風化透過熱脹冷縮或冰劈等使大岩石原地崩解；選項(C)化學風化在溫暖潮濕環境下最為旺盛，水與礦物發生水解、氧化等反應使岩石鬆軟；選項(D)岩石經長期風化碎裂後的無機礦物碎屑與有機質混合，最終形成孕育生命的土壤。"
108,暑期練習7/6,目前臺灣用水量比重佔最多的是下列哪一個？,工業用水,農業用水,民生用水,電廠用水,(B) 農業用水,"【正確答案：B】
解析：
1. 根據經濟部水利署水資源統計，臺灣全年水資源利用總量中，「農業用水（含農田灌溉、水產養殖及畜牧）」佔比最高，約占整體總用水量的 70% 左右；民生生活用水約占 20%，工業用水約占 10%。
2. 選項(A)工業用水約占 10%；選項(C)民生用水約占 20%，均低於農業用水；選項(D)發電用水多為冷卻循環或水力發電不耗水排放，非主要消耗端。"
109,暑期練習7/6,因臺灣位於歐亞大陸板塊與菲律賓板塊交界處，地震頻繁，對於地震的應變措施下列何者有誤？,地震發生時應躲在黃金三角處,地震發生時應躲在冰箱旁，確保食物充足,若發生強烈地震應趕緊開門，防止門變形逃不出去,以上皆是,(D) 以上皆是,"【正確答案：D】
解析：
1. 題目所列(A)、(B)、(C)皆為常見的錯誤防震迷思，故「以上皆是」為正確答案：
   - (A) 錯誤：國際及內政部消防署已證實「黃金三角」理論極易受傾倒重物或掉落物直接砸傷，正確應為「趴下（Drop）、掩護（Cover）、穩住（Hold on）」並躲在堅固桌下。
   - (B) 錯誤：地震時大型家電（如冰箱）極易傾倒位移壓傷人，絕非安全避難處。
   - (C) 錯誤：強震劇烈搖晃時移動極易跌倒摔傷或遭掉落物砸傷，應就地掩護，待搖晃停止後再開門逃生。"
110,暑期練習7/6,一般來說，侵襲臺灣的颱風路徑主要受何者影響？,北太平洋洋流,黑潮,北太平洋高壓環流,蒙古高壓環流,(C) 北太平洋高壓環流,"【正確答案：C】
解析：
1. 西北太平洋生成的颱風屬於大型熱帶氣旋，其移動路徑主要受到周圍大尺度導引氣流所牽引，其中最關鍵的主導系統為「太平洋副熱帶高氣壓（北太平洋高壓環流）」。高壓邊緣的氣流走向、強度西伸或東退位置，直接決定颱風是直撲臺灣、偏向日本或朝向華南。
2. 選項(A)北太平洋洋流與(B)黑潮為海洋水文洋流系統，主要提供水溫與熱量能量，非導引大氣路徑的主因；選項(D)蒙古高壓為冬季冷高壓系統，夏季颱風旺季時並不活躍。"
111,暑期練習7/6,PM2.5除了來自於污染源直接排放外，亦可能經由下列哪一項化學反應產生？,光化反應,酸鹼反應,沉澱反應,光合作用,(A) 光化反應,"【正確答案：A】
解析：
1. 細懸浮微粒（PM2.5）可分為直接排放的原生性微粒，以及由氣態前驅物經化學轉化而成的衍生性微粒。工廠與車輛排放之二氧化硫（SO2）、氮氧化物（NOx）及揮發性有機物（VOCs），在大氣中經太陽紫外線照射引發複雜的「光化反應（Photochemical reactions）」，會氧化轉化為硫酸鹽、硝酸鹽與二次有機氣膠等二次 PM2.5。
2. 選項(B)酸鹼反應與(C)沉澱反應非大氣中衍生微粒生成之主要驅動機制；選項(D)光合作用為植物固碳合成養分之生理反應，不產生污染微粒。"
112,暑期練習7/6,壬基酚主要做為工業清潔劑中「非離子型界面活性劑」，另外也用於抗氧化劑、紡織印染助劑、農藥乳化劑等領域，但平常我們接觸的壬基酚，卻更多是從哪裡來的？,食物中,空氣中,土壤中,廢棄物中,(A) 食物中,"【正確答案：A】
解析：
1. 壬基酚（Nonylphenol, NP）排放至水體環境後，因具有高脂溶性與環境持久性，極易被水生生物吸收並經由食物鏈產生生物累積與放大效應。人體日常接觸與攝入壬基酚最主要的途徑即為「飲食（食物中，尤其是水產魚貝類及接觸塑膠包裝之食品）」，飲食暴露佔一般人總攝入量九成以上。
2. 選項(B)空氣中、(C)土壤中、(D)廢棄物中：壬基酚揮發性低，一般民眾日常非直接接觸土壤或工業廢棄物，暴露量極微。"
113,暑期練習7/6,下列哪個水庫主要供應屏東地區的用水？,曾文水庫,牡丹水庫,赤崁水庫,石門水庫,(B) 牡丹水庫,"【正確答案：B】
解析：
1. 牡丹水庫位於屏東縣牡丹鄉四重溪上游，為屏東縣境內最具規模的重要水庫，主要肩負屏東恆春半島及屏南各鄉鎮民生、觀光與農業用水之供水任務。
2. 選項(A)曾文水庫位於嘉義與臺南交界，主要供應嘉南地區用水；選項(C)赤崁水庫為澎湖縣白沙鄉之地下水庫；選項(D)石門水庫位於桃園市，供應北部地區用水。"
114,暑期練習7/6,下列對馬卡道澤蟹的敘述何者錯誤？,常躲在落葉堆或邊坡的土洞裡,在全台都可以看到,在2009年才被判定為新物種,長期生活在獨立的範圍內，很少與其他族群交流,(B) 在全台都可以看到,"【正確答案：B】
解析：
1. 馬卡道澤蟹（Geothelphusa makatao）是臺灣特有種陸封型淡水蟹，分布範圍極度狹隘侷限，主要僅棲息於高雄壽山（柴山）及半屏山一帶石灰岩地質之湧泉溪流與潮濕落葉環境，並非全臺皆能看到。
2. 選項(A)其習性喜好躲藏於石灰岩邊坡土洞或落葉堆中；選項(C)該物種於2009年經學者分子生物與型態鑑定正式發表為新種；選項(D)因壽山地形孤立封閉，族群長期在獨立微生境中繁衍，極少與外界交流。"
115,暑期練習7/6,在酸雨相當嚴重的城市蓋房子，下列何者是不適合的建材？,花崗岩,玄武岩,大理岩,安山岩,(C) 大理岩,"【正確答案：C】
解析：
1. 大理岩為石灰岩經變質作用形成的岩石，主要化學成分為碳酸鈣（CaCO3）。碳酸鈣極易與酸雨中的硫酸或硝酸發生化學溶蝕反應生成硫酸鈣與二氧化碳，導致建築表面剝落、粉化與結構損壞，因此極不適合在酸雨嚴重地區做為外牆建材。
2. 選項(A)花崗岩、(B)玄武岩、(D)安山岩均為火成岩，主要成分為抗酸腐蝕能力強的矽酸鹽類礦物（如石英、長石等），耐酸雨侵蝕能力遠高於大理岩。"
116,暑期練習7/6,下列何項非聯合國永續發展目標SDGs之一？,氣候行動,減少不平等,優質教育,綠色生活,(D) 綠色生活,"【正確答案：D】
解析：
1. 聯合國於2015年宣布的「2030永續發展目標（SDGs）」共包含17項目標。「綠色生活」為我國推動之生活實踐概念，並非聯合國官方17項SDGs目標的正式名稱。
2. 選項(A)氣候行動（Climate Action）為SDG 13；選項(B)減少不平等（Reduced Inequalities）為SDG 10；選項(C)優質教育（Quality Education）為SDG 4。"
117,暑期練習7/6,下列何者對於濕沉降的敘述是「錯誤」？,氣狀污染物隨雨、雪等降下,氣狀污染物經由風力帶至海洋,大氣中污染物質去除的重要機制,自然降雨是濕沉降最重要的機制,(B) 氣狀污染物經由風力帶至海洋,"【正確答案：B】
解析：
1. 污染物經由風力吹送輸送至海洋，屬於大氣污染物的「傳輸或擴散（Transport/Dispersion）」過程，而非藉由水相降水移除的「沉降（Deposition）」，因此「經由風力帶至海洋」不屬於濕沉降。
2. 選項(A)濕沉降定義即大氣中氣態或粒狀污染物溶入雨、雪、霧等降水沉降至地表；選項(C)濕沉降是大氣自淨與清除污染的重要天然機制；選項(D)自然降雨（雨除與雨洗）是濕沉降中最主要的方式。"
118,暑期練習7/6,為處理垃圾爆量問題環境部擬於2023年提出《資源循環促進法》來因應，下列對此法案的敘述何者錯誤？,此法案係將《廢棄物清理法》及《資源回收再利用法》整併,此法案目地在翻轉廢棄物定義，推動資源極大化，廢棄物極小化,此法擬對不具再利用價值的廢棄物，公告為政府責任物，由政府吸收處理費用,此法也會對汙染環境的業者加重其刑責,(D) 此法也會對汙染環境的業者加重其刑責,"【正確答案：D】
解析：
1. 環境部研擬之《資源循環促進法》草案主要聚焦於「資源循環體系建構、翻轉廢棄物定義、推動源頭減量、徵收資源循環促進費」等經濟誘因與制度改革；針對重大環境污染之刑責與處罰，主要仍維持現行環保專法及既有廢棄物清理法框架，並非該法案新設的核心重點。
2. 選項(A)該法旨在將《廢棄物清理法》與《資源回收再利用法》二法合一；選項(B)目標為轉變傳統廢棄物思維，實現資源最大化與廢棄物最小化；選項(C)藉由法定分類與責任物制度設計，建立妥善去化與循環基金機制。"
119,暑期練習7/6,電磁波防治相關法規，是哪一中央機關所制訂及執行？,衛生福利部,行政院環境部,公共工程委員會,勞動部,(B) 行政院環境部,"【正確答案：B】
解析：
1. 在臺灣，針對環境非游離輻射（即民眾日常所稱之環境電磁波、極低頻與射頻電磁場）之防制標準、環境監測與安全暴露建議值，主管機關為「行政院環境部（前行政院環境保護署）」，並由其頒布《限制時變電場、磁場及電磁場曝露指引》。
2. 選項(A)衛福部主管公共衛生與醫療；選項(C)公共工程委員會主管政府採購與工程品質；選項(D)勞動部主管勞工職場工作環境安全，非主管全般環境電磁波防制。"
120,暑期練習7/6,下列臺灣特有種生物中，何者從平地至海拔3千公尺皆有其蹤跡？,臺灣雲豹,臺灣帝雉,臺灣寬尾鳳蝶,臺灣山豬,(D) 臺灣山豬,"【正確答案：D】
解析：
1. 臺灣野豬（臺灣山豬，特有亞種 Sus scrofa taivanus）環境適應力極強，屬雜食性動物，從低海拔平地、丘陵、次生林，一直到海拔3000公尺以上的高山針葉林與箭竹草原均有廣泛分布。
2. 選項(A)臺灣雲豹棲息於中低海拔闊葉林（已宣告滅絕）；選項(B)臺灣帝雉僅棲息於海拔1800~3800公尺的中高海拔原始針闊葉混合林；選項(C)臺灣寬尾鳳蝶主要分布於中海拔1000~2000公尺山區。"
121,暑期練習7/6,下列哪個選項「不是」臺灣現行的環保法規？,野生動物保護法,水污染防治法,噪音管制法,京都議定書,(D) 京都議定書,"【正確答案：D】
解析：
1. 《京都議定書》（Kyoto Protocol）是聯合國氣候變化綱要公約（UNFCCC）架構下通過的「國際多邊氣候條約」，並非由臺灣立法院三讀通過施行的國內法律。
2. 選項(A)野生動物保育法（題幹稱保護法）、(B)水污染防治法、(C)噪音管制法，均為臺灣現行施行之國內環保與生態法規。"
122,暑期練習7/6,關於「北極放大效應」的敘述，何者錯誤？,該效應是指北半球排放之溫室氣體向北竄升，累積在北極的現象,南極也會有「南極放大效應」，但其效果不顯著,該效應使北極附近的溫度變化比地球其他地區的變化都來得大,金星也有該效應，使得金星的兩極與赤道幾乎是等溫,(A) 該效應是指北半球排放之溫室氣體向北竄升，累積在北極的現象,"【正確答案：A】
解析：
1. 「北極放大效應（Arctic Amplification）」是指全球暖化過程中，北極地區的升溫速率顯著高於全球平均水平的現象。其主要機制為「冰雪反照率正回饋」（海冰融化露出深色海水，吸收更多太陽熱能加速融冰與升溫），並非溫室氣體直接向北竄升累積在北極。
2. 選項(B)南極因厚重冰蓋高海拔及繞極洋流阻隔，放大效應遠不如北極顯著；選項(C)正確說明了北極升溫幅度遠大於其他地區；選項(D)金星大氣濃厚且熱對流旺盛，使兩極與赤道呈現幾乎等溫現象。"
123,暑期練習7/6,下列何種法規是目前臺灣沒有特別公告的？,噪音管制法,水污染防治法,振動管制法,環境影響評估法,(C) 振動管制法,"【正確答案：C】
解析：
1. 臺灣目前環保法規體系中，尚未單獨制定專門的《振動管制法》，公害振動多於環境影響評估審查或特定作業指引中附帶評估規範，無獨立之母法。
2. 選項(A)《噪音管制法》、(B)《水污染防治法》、(D)《環境影響評估法》均為臺灣早已制定並正式施行的現行重要環保法律。"
124,暑期練習7/6,基因改造食品可以大量增加作物產量，且無明顯不好的影響，但卻還是很多人反對食用基因改造食品，其原因為何？,成本太高,可能含有一些致敏原，會導致死亡,與非基因改造食品外觀差異大,基因改造食品口感差,(B) 可能含有一些致敏原，會導致死亡,"【正確答案：B】
解析：
1. 反對或質疑基因改造食品（GMO）的核心科學爭議之一，在於外源基因轉殖可能在作物中合成人體未曾經歷的新蛋白質，進而可能引發不可預測的過敏反應（致敏性），對嚴重過敏體質者甚至有引發過敏性休克之風險，引發健康與安全疑慮。
2. 選項(A)基改作物通常能降低農藥與耕作成本；選項(C)與(D)基改食品在外觀與口感上與傳統食品並無顯著差異，非反對之核心論點。"
125,暑期練習7/6,下列哪個選項「不是」海洋的功能？,提供人類食物,再生能源,防洪治水,調節氣溫,(C) 防洪治水,"【正確答案：C】
解析：
1. 「防洪治水」屬於陸域水利工程、天然滯洪濕地或森林水土保持之功能。海洋是全球地表水流匯集的最下游終點，不具備吸收陸域洪水以防洪之功能，沿海低窪地區甚至常面臨暴潮與海嘯淹水威脅。
2. 選項(A)海洋提供豐富的魚貝藻類等蛋白質食物來源；選項(B)海洋蘊藏潮汐能、波浪能、海流能等再生能源；選項(D)海水比熱大並透過洋流輸送熱量，是地球調節氣溫最重要的系統。"
126,暑期練習7/6,在醫院工作因為中央空調系統沒有定期消毒保養而引起醫護人員得到退伍軍人症，是屬於哪種類型的危害？,物理性危害,化學性危害,生物性危害,心理性危害,(C) 生物性危害,"【正確答案：C】
解析：
1. 退伍軍人症（Legionnaires' disease）是由「退伍軍人菌（Legionella pneumophila）」這種細菌所引起的急性呼吸道感染，常滋生於冷卻水塔與空調管線。由細菌、病毒、真菌或寄生蟲等生物病原體所造成的健康危害，屬於「生物性危害（Biological Hazard）」。
2. 選項(A)物理性危害指噪音、振動、極端溫濕度、輻射等；選項(B)化學性危害指毒性化學物質、重金屬、有機溶劑等；選項(D)心理性危害指職場壓力、霸凌與過勞等。"
127,暑期練習7/6,1987年聯合國提出《我們的未來》報告書，其中指出「永續發展」的理念是？,完全禁用氟氯碳化物,滿足當代需求，且不損及後代滿足其需要之發展,2008~2012年達到二氧化碳減量5~8%,各國減少硫化物排出量及削減氮氧化物30%,(B) 滿足當代需求，且不損及後代滿足其需要之發展,"【正確答案：B】
解析：
1. 1987年聯合國世界環境與發展委員會（WCED）發表《我們共同的未來》（Our Common Future，亦稱布倫特蘭報告），為「永續發展（Sustainable Development）」下了經典定義：「既能滿足當代人的需求，又不會損及後代人滿足其自身需求能力的發展」。
2. 選項(A)禁用氟氯碳化物為《蒙特婁議定書》之主旨；選項(C)為《京都議定書》第一承諾期之溫室氣體減量目標；選項(D)為區域長程越界空污協議內容。"
128,暑期練習7/6,因應宜蘭多雨的氣候，下列何者是「宜蘭厝」的建築特色？,平臺式屋頂,拱形屋頂,斜屋頂,圓形屋頂,(C) 斜屋頂,"【正確答案：C】
解析：
1. 宜蘭位處臺灣東北部，受東北季風與地形抬升影響，全年雨日多、雨量豐沛。「宜蘭厝」建築運動強調順應在地氣候，普遍採用「大斜屋頂」與深遠出挑的屋簷設計，以利迅速排洩雨水、防止積水滲漏，並能遮陽擋雨。
2. 選項(A)平臺式屋頂容易積水滲漏，不適應多雨氣候；選項(B)拱形屋頂與(D)圓形屋頂非宜蘭在地風土建築順應多雨的代表特色。"
129,暑期練習7/6,下列哪個選項是酸雨對環境或生物造成的影響？,減緩植物生長,造成水體優養化,使南極上空臭氧洞擴大,造成溫、寒帶的生物棲息地往更高緯度處遷移,(A) 減緩植物生長,"【正確答案：A】
解析：
1. 酸雨會直接腐蝕植物葉片的保護性角質層，妨礙氣孔運作與光合作用；同時酸雨會淋溶流失土壤中的鈣、鎂等養分，並釋放具毒性之游離鋁離子破壞植物根系，導致植物營養不良、生長減緩甚至枯死。
2. 選項(B)水體優養化是由水中過量氮、磷營養鹽引起；選項(C)臭氧洞擴大是由氟氯碳化物（CFCs）破壞臭氧層引起；選項(D)生物棲地往高緯度遷移是全球暖化氣候變遷的後果。"
130,暑期練習7/6,DDT造成生物放大的原因為何？,因食物塔階層愈高，總生物量愈大，DDT累積量也愈高,因高級消費者體內分解DDT的能力較生產者低,因DDT在生物體內無法分解，無法排出,因DDT使受污染生物的總生物量增大,(C) 因DDT在生物體內無法分解，無法排出,"【正確答案：C】
解析：
1. DDT（雙對氯苯基三氯乙烷）是一種極具化學穩定性且具高脂溶性的有機氯殺蟲劑。生物攝入後極難被酵素代謝分解，且不溶於水難以隨尿液排出，長期累積於脂肪組織中，隨著食物鏈層層攝食傳遞，在高階掠食者體內濃度呈現數萬倍放大（生物放大作用）。
2. 選項(A)根據生態金字塔，食物鏈階層愈高，總生物量通常愈小；選項(B)DDT不易被任何生物酵素分解，關鍵在於脂溶累積與無法排出；選項(D)DDT具毒性，不會使生物量增大。"
131,暑期練習7/6,下列何者「不是」土壤自淨作用？,污染物進入土壤後經化學降解變為無毒害物質,利用土壤中的微生物，將污染經由分解或礦化作用使污染物轉換,土壤經過大雨沖刷能將污染物洗掉,土壤中的污染物通過複雜多樣的物理過程，使其濃度降低、毒性減輕,(C) 土壤經過大雨沖刷能將污染物洗掉,"【正確答案：C】
解析：
1. 大雨沖刷僅是透過地表逕流將土壤表面的污染物沖刷搬運至下游水體或海洋，本質上是污染的轉移與擴散，並非土壤本體消除或降低污染物毒性的淨化過程，因此不屬於土壤自淨作用。
2. 選項(A)化學降解（氧化還原、中和）屬於化學自淨；選項(B)微生物生物分解與礦化屬於生物自淨；選項(D)物理吸附、稀釋與揮發屬於物理自淨，皆為標準土壤自淨機制。"
132,暑期練習7/6,中央氣象局對颱風強弱的分類標準，是依據下列哪一項決定的？,颱風中心附近平均的最大風速,颱風地區雲層厚度,颱風中心颱風眼的大小,颱風的暴風直徑,(A) 颱風中心附近平均的最大風速,"【正確答案：A】
解析：
1. 交通部中央氣象署（前中央氣象局）對颱風強度的分類標準，係依據「颱風中心附近之最大平均風速（10分鐘平均風速）」進行分級：
   - 輕度颱風：17.2 ~ 32.6 m/s（8~11級風）
   - 中度颱風：32.7 ~ 50.9 m/s（12~15級風）
   - 強烈颱風：51.0 m/s以上（16級風以上）。
2. 選項(B)雲層厚度與(C)颱風眼大小非強度分類指標；選項(D)暴風直徑（暴風半徑）代表颱風的範圍大小，而非強度強弱。"
133,暑期練習7/6,下列哪種兩棲爬蟲類是臺灣的外來種？,莫氏樹蛙,菊池氏龜殼花,楚南氏山椒魚,巴西烏龜,(D) 巴西烏龜,"【正確答案：D】
解析：
1. 巴西龜（紅耳龜 Trachemys scripta elegans）原產於北美洲密西西比河流域，早期因水族寵物貿易大量引進臺灣，後因民眾任意棄養與放生，在野外池塘河川大量繁衍，成為強勢外來入侵種，嚴重威脅臺灣本土原生澤龜（如斑龜、柴棺龜）的生存。
2. 選項(A)莫氏樹蛙為臺灣特有種兩棲類；選項(B)菊池氏龜殼花為臺灣特有種高山毒蛇；選項(C)楚南氏山椒魚為臺灣特有種冰河孑遺兩棲類。"
134,暑期練習7/6,下列何者「不屬於」公告回收的電子電器物品？,電冰箱,微波爐,洗衣機,電視機,(B) 微波爐,"【正確答案：B】
解析：
1. 依據環境部應回收廢棄物責任物公告，傳統重點公告回收之大型廢電子電器「廢四機」項目包括：電視機、洗衣機、電冰箱及冷暖氣機；微波爐、烤箱、電磁爐等屬於一般小家電（多由地方清潔隊一般資收管道處理，非屬法定繳費補貼之傳統大型廢四機責任物）。
2. 選項(A)電冰箱、(C)洗衣機、(D)電視機均為標準公告列管之廢電子電器回收項目。"
135,暑期練習7/6,臺灣時有山崩發生，下列何者「不是」臺灣山崩的主因？,臺灣地處地殼不穩定處,臺灣山地面積廣，地勢陡峭,地處高溫多雨之地，化學風化物質多,春季雪水多，增加潤滑力,(D) 春季雪水多，增加潤滑力,"【正確答案：D】
解析：
1. 臺灣位處亞熱帶與熱帶氣候區，冬季僅少數3000公尺以上高山短暫降雪，春季積雪極少且融雪量微不足道，並非引發臺灣普遍山崩滑坡之主要機制。
2. 選項(A)地處板塊交界帶、地震頻繁使岩層破碎；選項(B)全島70%為山坡地且地勢起伏陡峻；選項(C)氣候高溫多雨、風化作用強烈且颱風豪雨集中，皆為造成臺灣山崩頻發之關鍵主因。"
